PROTID	Chip2_11cells_A10	Chip2_11cells_A11	Chip2_11cells_A12	Chip2_11cells_B10	Chip2_11cells_B11	Chip2_11cells_B12	Chip2_1cell_A3	Chip2_1cell_A4	Chip2_1cell_A5	Chip2_1cell_A6	Chip2_1cell_B3	Chip2_1cell_B4	Chip2_1cell_B5	Chip2_1cell_B6	Chip2_3cells_A7	Chip2_3cells_A8	Chip2_3cells_A9	Chip2_3cells_B7	Chip2_3cells_B8	Chip2_3cells_B9
P60710	5782095400.00	6526705200.00	5597514800.00	7088150000.00	6686666200.00	6075367900.00	230233536.00	455080576.00	363066144.00	279395808.00	692367230.00	617165250.00	601121340.00	187445440.00	1205294080.00	523464576.00	2266580740.00	1631159550.00	2103705220.00	1249291900.00
contam_sp|P00761|TRYP_PIG	4314042900.00	4814349300.00	6051996200.00	3712431620.00	4218641660.00	4718106600.00	1975553020.00	3524386300.00	4392740400.00	5174222300.00	3268380930.00	4584543700.00	4782825000.00	2103368060.00	2938316290.00	5253097000.00	3012248060.00	4596524000.00	3679320060.00	4491858900.00
P14069	2031013120.00	2906005250.00	2079968510.00	2724156930.00	2651067390.00	2723360510.00	80426104.00	169471888.00	203298880.00	118740816.00	338325792.00	233798848.00	229947888.00	12074570.00	501597920.00	573358980.00	1348555260.00	493075040.00	691279230.00	638155710.00
P20152	1917567100.00	1973304320.00	1398927740.00	2103874560.00	1882500350.00	1745676800.00	297177024.00	289365344.00	109548504.00	90634088.00	286407808.00	218401824.00	236302976.00	193281008.00	607619580.00	265337888.00	525612576.00	552377220.00	593575300.00	304177984.00
P16858	1390092670.00	2073622530.00	1573216000.00	1793288960.00	2030269180.00	1886857980.00	53577988.00	103837032.00	98205016.00	72248792.00	225359408.00	132339864.00	166918384.00	10325404.00	412905920.00	425501728.00	720559490.00	335587264.00	404687136.00	308076544.00
P10126	1341792130.00	1690068100.00	1283084030.00	2031465340.00	2015849470.00	1733784830.00	62932368.00	142122752.00	147597088.00	131613328.00	245246720.00	171605280.00	196430192.00	13211441.00	345003936.00	393103648.00	691833470.00	364365152.00	578405700.00	389224416.00
P16045	1269419900.00	1761109250.00	1294240770.00	1340555520.00	1766061700.00	1302248700.00	32711996.00	102798880.00	168512240.00	97913616.00	285160192.00	117093848.00	133664272.00	8557684.00	429151904.00	424899488.00	664710850.00	496667456.00	670858560.00	611332990.00
P17742	820701820.00	920322820.00	746589380.00	912946500.00	908258050.00	803022530.00	25777306.00	65068904.00	46565004.00	66410080.00	151670112.00	65157416.00	99192696.00	5616474.00	266798240.00	248376096.00	420718848.00	245714000.00	312979424.00	232735984.00
Q64478	710295360.00	704244930.00	415779168.00	1098414340.00	1037221500.00	639226620.00	212982480.00	165226080.00	91377648.00	70290200.00	75221160.00	135093760.00	83689952.00	161099776.00	373590944.00	275792480.00	193499840.00	266847744.00	260727904.00	198878944.00
C0HKE1	629672960.00	671397630.00	488833440.00	965346300.00	901214080.00	557553150.00	173805440.00	102558424.00	80958864.00	62525664.00	66395496.00	115208640.00	55802440.00	129797400.00	270834848.00	170932432.00	167850128.00	206744384.00	144064944.00	152398208.00
P18760	596074370.00	1038501310.00	670690110.00	1068045310.00	926235460.00	754261120.00	21041816.00	72462768.00	50499508.00	40464608.00	219926080.00	71425656.00	145909504.00	14834718.00	166491712.00	159092048.00	217726304.00	217024192.00	352936608.00	225897520.00
P05213	581941890.00	770321410.00	650933440.00	1017693700.00	967768260.00	773151100.00	19593780.00	86257400.00	73383248.00	56645268.00	155956512.00	134544352.00	166902208.00	9441557.00	236644768.00	203650352.00	262810240.00	221635536.00	392354112.00	194621392.00
P52480	579655810.00	597709890.00	624484670.00	858427580.00	903904000.00	823088000.00	39505456.00	49997244.00	58924008.00	69167840.00	135753888.00	97911248.00	118609296.00	6391326.00	183182368.00	156660944.00	318108992.00	162141984.00	224879840.00	181224752.00
P68433	523585440.00	386122208.00	430393152.00	883442690.00	731748290.00	453140992.00	106480296.00	112492864.00	54290832.00	49575632.00	66742624.00	130296016.00	70648016.00	131006416.00	257706992.00	196153568.00	135490560.00	274192256.00	243946400.00	182107760.00
P41731	471199232.00	563417410.00	362313152.00	426026144.00	436557120.00	452868192.00	71329744.00	36379516.00	49714832.00	35237816.00	39007764.00	37281296.00	33758264.00	14747029.00	104471528.00	218017632.00	274757856.00	56874076.00	162812416.00	179339488.00
P45376	460194720.00	646678460.00	273040768.00	667911550.00	429953568.00	884205570.00	70012032.00	13653731.00	18779848.00	41939712.00	121674808.00	50706900.00	29239342.00	2168868.80	203817168.00	148317472.00	363070880.00	42007492.00	174072496.00	92585248.00
P62806	434840032.00	366020000.00	362537568.00	874555840.00	714228480.00	411107136.00	117395832.00	106643824.00	59265148.00	51715356.00	66345024.00	146215904.00	83265024.00	168783104.00	272126720.00	203377008.00	133442848.00	283103456.00	268578880.00	189029040.00
P07091	430505344.00	1046442240.00	1164189310.00	1069980030.00	755955650.00	528195968.00	13845436.00	33922756.00	42276240.00	40181872.00	64864872.00	41413040.00	75184376.00	3449092.00	137728976.00	88712432.00	245439392.00	103704152.00	130372256.00	133278688.00
P63017	402417856.00	543763390.00	410244320.00	679892420.00	564806400.00	459857600.00	44870688.00	48495588.00	50744484.00	43243132.00	90113224.00	57765528.00	62378864.00	9534778.00	155395744.00	152104160.00	231306864.00	134423056.00	187409312.00	130355512.00
P11499	366856800.00	633049920.00	440692864.00	1130100610.00	638593340.00	492212832.00	35416956.00	44006688.00	43693124.00	27953830.00	76315104.00	66433476.00	56815512.00	4499872.00	149044224.00	151908992.00	331035456.00	127299656.00	174669504.00	128424016.00
P05064	340895520.00	627048580.00	384751520.00	468874848.00	573658050.00	462877824.00	10642530.00	22913838.00	27221430.00	25190634.00	57516456.00	22691596.00	30665772.00	1734673.20	137023040.00	104271664.00	173037168.00	76064344.00	102121968.00	85502736.00
Q60605	339941120.00	370848064.00	257028192.00	436110048.00	310346464.00	275974080.00	9478952.00	39638960.00	29073588.00	18075032.00	61306044.00	46419840.00	33567500.00	4585240.00	59585852.00	93250912.00	162979488.00	109991504.00	141553008.00	83930696.00
P99027	311871424.00	385023776.00	289114496.00	477491168.00	395157152.00	375742592.00	8101645.50	46430252.00	35481736.00	37482144.00	67306472.00	46997496.00	49619212.00	7214955.00	109263424.00	108536672.00	125993256.00	89371328.00	128719536.00	92580680.00
Q61937	310665312.00	333800832.00	240629280.00	462484544.00	422662752.00	218306688.00	61261176.00	30483160.00	19286090.00	21881936.00	39167052.00	38171236.00	24882356.00	35833264.00	128309584.00	71987680.00	56508448.00	92472944.00	118080024.00	66421144.00
Q6ZWY8	308895680.00	21918174.00	378052000.00	510783008.00	17251724.00	14652221.00	148784.75	2897444.00	1601380.90	23426022.00	87873680.00	46551236.00	47350628.00	130799.19	151996912.00	4296405.50	5993958.50	5033790.50	6767522.00	123957472.00
P58252	304826432.00	415508576.00	303717952.00	440584896.00	353102592.00	339820736.00	11371154.00	16457722.00	24229960.00	18472240.00	36265440.00	26122616.00	45842644.00	2778611.00	104698664.00	63104888.00	186026352.00	74681368.00	94573664.00	63640228.00
P63038	294333856.00	382900864.00	365546080.00	348952000.00	340436288.00	308088096.00	35509356.00	22677552.00	14785535.00	14708574.00	41157640.00	24393942.00	30768690.00	18705958.00	103124936.00	59839884.00	119973656.00	57875296.00	73427536.00	59536240.00
Q61749	293122816.00	346199584.00	534693.90	505530816.00	543912510.00	466651264.00	7663983.50	33401152.00	36048968.00	22478968.00	101564.40	44080328.00	44449708.00	4755668.50	179927.12	118022248.00	202929664.00	121895288.00	199721616.00	149752.45
P35700	292663520.00	338093760.00	233683392.00	327896800.00	336054400.00	317018656.00	9435562.00	32927638.00	30141402.00	17647298.00	60339268.00	38201292.00	29363928.00	2315513.00	67803128.00	95964656.00	127613600.00	56494944.00	86231256.00	108626888.00
P99024	287231200.00	386249248.00	371323712.00	436141824.00	397431040.00	333065216.00	6777472.00	25103128.00	21412802.00	15121960.00	50854148.00	35580132.00	45473780.00	3926793.00	114302984.00	93907584.00	133547936.00	89210376.00	152793952.00	84470496.00
P62962	253358384.00	253359648.00	242361024.00	162096112.00	296500864.00	419301920.00	15428745.00	26343842.00	35376868.00	28920478.00	60586236.00	46145444.00	51783440.00	3393902.50	79894432.00	64884944.00	99454736.00	83869696.00	93965664.00	75646240.00
P09411	247587264.00	527193792.00	324861216.00	465504736.00	652085820.00	546038910.00	12189135.00	8025589.00	22510350.00	15575694.00	55590000.00	15821032.00	34730208.00	1806055.50	109416208.00	69092072.00	182355984.00	31244044.00	95639792.00	57342440.00
P07356	243397824.00	313314240.00	213307888.00	275774720.00	303391200.00	291651040.00	14440093.00	19884598.00	12597467.00	16632381.00	26753264.00	20041636.00	24501566.00	4068825.00	62830068.00	53450764.00	94770344.00	58883540.00	81417896.00	59654344.00
P68510	240968192.00	517581216.00	429419456.00	564285180.00	394927840.00	616172740.00	18151638.00	30843244.00	30451138.00	43726392.00	47379680.00	48106076.00	67070200.00	3135495.20	154036160.00	169111840.00	164937584.00	92701304.00	174642832.00	113554080.00
Q8VDD5	239534368.00	273311488.00	209813440.00	329886304.00	313304224.00	224398560.00	22921954.00	72836552.00	59840976.00	36042432.00	139881392.00	88087472.00	62707116.00	9650287.00	89941224.00	109571912.00	153741200.00	155216240.00	181255792.00	109093168.00
P17182	236192416.00	360577056.00	266949968.00	382884224.00	363393216.00	385599296.00	19869602.00	21950078.00	28572920.00	24613850.00	57453436.00	33159740.00	34910572.00	2643509.00	87697640.00	69022712.00	106386296.00	77197560.00	113293824.00	61561176.00
P09103	234392560.00	262225952.00	230509024.00	240427072.00	360049504.00	255179680.00	29695824.00	24474296.00	23093864.00	19286990.00	29121732.00	21329570.00	21159542.00	6218598.00	62311744.00	43931320.00	110337200.00	47621260.00	74558920.00	52410196.00
P17751	226641424.00	373990560.00	236420800.00	327630976.00	415161952.00	347615424.00	11898399.00	20367796.00	26550598.00	19529044.00	39784212.00	23508710.00	22161232.00	2047771.10	93786368.00	66090864.00	115412760.00	37740052.00	72669848.00	65368600.00
O88569	223913712.00	228478080.00	81072984.00	305614688.00	250680880.00	179858944.00	38538220.00	19636226.00	22304644.00	14530979.00	32728588.00	28933260.00	38684656.00	19145576.00	78083760.00	78844832.00	57443368.00	51933056.00	82208368.00	61627824.00
P63101	222449152.00	298658880.00	208876608.00	312715072.00	334875328.00	312662880.00	11377076.00	31008496.00	26022950.00	21070866.00	54161888.00	32822752.00	32105018.00	2204239.00	74474080.00	87570200.00	126781672.00	72850224.00	97588272.00	79552080.00
P14211	222138752.00	266580064.00	203850624.00	269093792.00	301276800.00	234032448.00	34025504.00	14844070.00	25749682.00	25832322.00	29644776.00	25772226.00	22162986.00	6984234.00	74870456.00	57912060.00	116163728.00	42920992.00	67200224.00	59276728.00
P06151	212467520.00	376329216.00	283862880.00	192260192.00	312262720.00	357961376.00	6487918.00	8816980.00	11020094.00	8572449.00	29595264.00	7725570.50	9681750.00	1219554.80	68581984.00	47381672.00	83854064.00	24450798.00	39421200.00	54273024.00
P48962	212280608.00	301931520.00	274577280.00	177821344.00	212813376.00	214356240.00	20864846.00	6402386.00	7641630.00	6640041.50	14124308.00	8484309.00	9836864.00	5932148.50	23505464.00	24770892.00	51742584.00	11444953.00	19835746.00	23527524.00
P68033	203293856.00	104870368.00	175272096.00	1015899010.00	90585672.00	113213552.00	1089692.50	22834864.00	4917750.50	1249362.20	52291064.00	14222264.00	2672798.50	6416367.50	11169832.00	14790003.00	57370632.00	134878592.00	60489296.00	13190535.00
P58771	197193920.00	194122896.00	167393936.00	274148800.00	197785760.00	199733792.00	7367464.50	31972026.00	20721228.00	14160633.00	32656900.00	36196144.00	21585000.00	6296539.00	41666608.00	52407632.00	76333344.00	71859760.00	86420080.00	38075940.00
P26041	195485184.00	240815952.00	164946128.00	267749776.00	240087056.00	237005680.00	6380035.00	17923724.00	14467698.00	6254913.00	25913998.00	19028984.00	14580473.00	1897352.20	30546764.00	45432200.00	70364632.00	26788064.00	47354796.00	42441924.00
P43277	192493200.00	212186896.00	91914888.00	232116992.00	230156320.00	154857520.00	32353740.00	31782468.00	16241242.00	14790942.00	9177891.00	27443766.00	14275565.00	30079346.00	74273552.00	45372536.00	34446280.00	66139912.00	43312676.00	33865620.00
P62821	190686640.00	91422624.00	157982800.00	95781712.00	84940568.00	228041040.00	15570966.00	14350569.00	16239894.00	12478826.00	28443916.00	18897408.00	22305432.00	5587020.50	52403452.00	50993080.00	91370072.00	40113004.00	58181384.00	59576568.00
Q6GQT1	187648928.00	237147808.00	156469184.00	110057520.00	262406720.00	176202752.00	16773446.00	11679372.00	26803514.00	14432244.00	9676820.00	10480199.00	17285168.00	11329372.00	32172180.00	31729620.00	91155936.00	51166296.00	29795980.00	43025912.00
Q9D8N0	186051040.00	309315072.00	196377520.00	306917824.00	272940608.00	332225056.00	5188317.50	13908236.00	13442797.00	6363977.00	28606366.00	17820800.00	23526260.00	2353898.00	46575524.00	40337172.00	71560224.00	40442720.00	56833640.00	43561048.00
P08249	185262192.00	195574400.00	143300112.00	180142928.00	150712960.00	178411520.00	30519376.00	17309368.00	7274345.00	8825350.00	24384174.00	8517488.00	7710249.50	6953543.00	57781792.00	48547528.00	58005152.00	23666616.00	38520352.00	50299348.00
P70296	183691328.00	239334224.00	139690848.00	224173808.00	221023232.00	238545552.00	5864069.50	20283944.00	17709818.00	20985452.00	40073148.00	21081028.00	27854744.00	1757733.20	73156816.00	72820504.00	101477096.00	30886616.00	67510200.00	63074840.00
Q61171	182093584.00	283611840.00	161343072.00	197671328.00	235314304.00	230121328.00	8205030.00	13951698.00	22898232.00	14711073.00	34090824.00	18622418.00	23382334.00	1649608.50	64732388.00	66248960.00	111889224.00	37573224.00	69625120.00	65125112.00
P20029	178737584.00	245573824.00	200872864.00	276885984.00	298445600.00	215344928.00	52169832.00	22856194.00	25285070.00	20102058.00	40113200.00	24907576.00	38848048.00	7611707.50	81138112.00	68096552.00	128463616.00	56258880.00	87903728.00	69472816.00
O70251	176430304.00	248464560.00	179514496.00	292323168.00	363388352.00	226406224.00	6193750.50	27580430.00	19442888.00	18948622.00	39071096.00	41742744.00	52893880.00	3950495.50	72050264.00	45951176.00	75174504.00	72299320.00	85857136.00	51015536.00
P0DP26	168858512.00	186773952.00	146267056.00	228486896.00	210422496.00	183673632.00	8593158.00	19692110.00	19385012.00	13966635.00	28971296.00	32733940.00	20787568.00	6453488.00	59552908.00	56222240.00	69509896.00	54478312.00	66278604.00	52455648.00
O35639	167062336.00	197546112.00	161756256.00	277476480.00	206602992.00	204895968.00	4609880.50	16232826.00	12677931.00	13556361.00	23840814.00	18785494.00	18059106.00	1118036.90	44206756.00	52530876.00	82210008.00	35763776.00	55408620.00	40473192.00
Q3THE2	166074896.00	192409264.00	115917656.00	280794752.00	183761648.00	170661200.00	4145457.20	26494540.00	15890498.00	10284542.00	46008904.00	28694914.00	20734472.00	2996552.00	39846940.00	50357480.00	76196896.00	66682124.00	79359240.00	52011568.00
Q01768	165811600.00	235685712.00	181371328.00	266419648.00	265679920.00	205272032.00	2347211.50	10370940.00	7165956.50	6019274.00	13667303.00	12473525.00	12066968.00	881245.40	37711376.00	42234104.00	65005432.00	32213492.00	46894124.00	30902872.00
P62983	162244384.00	229259360.00	188293968.00	254964640.00	191821952.00	196185072.00	23447450.00	34375528.00	24411352.00	22177690.00	36573336.00	24844212.00	29029020.00	9407729.00	54284292.00	52578568.00	104404640.00	53880856.00	61877616.00	56408268.00
P10639	160746720.00	174450144.00	128975448.00	198785584.00	206955216.00	210955472.00	8030622.50	29478932.00	15281622.00	11770980.00	11564504.00	19956178.00	12069060.00	1412504.20	57532160.00	51340896.00	80568280.00	51150984.00	62593348.00	53755156.00
P10107	158252192.00	236887696.00	108687520.00	322469536.00	199205824.00	172040768.00	2797641.80	11065364.00	15438117.00	6406718.50	20204156.00	31903256.00	18158604.00	1064383.20	38586684.00	32906042.00	42241628.00	36153076.00	49868376.00	28276056.00
P57780	156464800.00	164027200.00	117901968.00	178554320.00	160621936.00	142468304.00	2525744.20	10640063.00	6204921.00	6209331.00	13740917.00	10150626.00	9315124.00	853326.10	27031710.00	31531042.00	46159812.00	42720424.00	50415660.00	24526192.00
O70456	154412144.00	14538157.00	149477968.00	209983168.00	226271536.00	171938896.00	7163681.50	17920998.00	754001.44	14562551.00	21998818.00	19620872.00	21229572.00	1478689.60	49153868.00	48907440.00	80294312.00	43241576.00	62336576.00	55125012.00
Q03265	150858592.00	178990608.00	152304720.00	162784576.00	196214576.00	167536976.00	41108028.00	14087143.00	14429943.00	13731137.00	13079133.00	15167081.00	14554378.00	16804052.00	47642052.00	49706668.00	55582936.00	23500174.00	47686544.00	45803336.00
P56480	149943264.00	174741536.00	146723952.00	138767200.00	152866592.00	135070704.00	37923348.00	12785686.00	11555330.00	13282351.00	12118166.00	17236404.00	10951353.00	14234156.00	47823816.00	54742908.00	65345960.00	26132340.00	53057432.00	56949812.00
P48036	147465856.00	146023040.00	123309240.00	185888976.00	179171984.00	192560816.00	5409715.00	12505540.00	8112335.00	7463149.00	18095136.00	12740515.00	10507198.00	906642.30	44551572.00	39409904.00	75450000.00	26941410.00	53807744.00	43159328.00
P11438	141319728.00	190749136.00	110884504.00	126794976.00	161026688.00	166942640.00	25190364.00	9803377.00	12642764.00	11598227.00	12772235.00	12276965.00	6573911.00	4075042.50	46522796.00	63227280.00	59828360.00	19754212.00	45129660.00	64360984.00
P97352	141057248.00	179921952.00	125318152.00	121721040.00	172412096.00	121484976.00	17163034.00	15868988.00	17514854.00	14331496.00	18905924.00	15124017.00	9314461.00	8737215.00	40217584.00	36256864.00	58331012.00	32009938.00	34611496.00	37849592.00
P57776	134351808.00	226907680.00	141581504.00	198911968.00	196598096.00	153712432.00	2755690.00	12992625.00	11122345.00	7763633.00	25729570.00	16738316.00	20571476.00	2273509.20	39427168.00	36782352.00	58356932.00	34549360.00	47860952.00	36116888.00
P13020	133940280.00	192145664.00	137339744.00	162133472.00	180423888.00	155535472.00	5477537.00	13264764.00	18239918.00	10498952.00	34278132.00	18941420.00	21313880.00	1405610.20	40219728.00	37826872.00	56271912.00	39637940.00	52979928.00	23607356.00
P38647	128284400.00	136473600.00	118531448.00	155835840.00	130247032.00	141852512.00	36269356.00	10813948.00	7464887.50	8723032.00	11072282.00	14188882.00	10994268.00	7688670.00	43195484.00	33702496.00	65395732.00	21042998.00	41964176.00	36650456.00
Q64433	126493832.00	173781808.00	114169712.00	136748896.00	143397872.00	119953776.00	21338824.00	15996198.00	10971108.00	12581739.00	24134424.00	16983100.00	18950692.00	14866454.00	52390280.00	31457944.00	55503732.00	31798304.00	36713500.00	49059940.00
Q8BTM8	125118240.00	167533488.00	149168800.00	218846752.00	212517152.00	182143968.00	6547077.00	13866162.00	18183246.00	9587844.00	44041248.00	21573192.00	20417346.00	3798455.50	51515548.00	49962600.00	75946568.00	51874900.00	70801120.00	39808100.00
E9Q7G0	124604560.00	182582256.00	138062000.00	4035714.00	3640793.00	169200432.00	7251679.00	14938580.00	7791501.50	7827343.00	18443118.00	18705488.00	14020089.00	6494547.50	1148393.10	39191208.00	38481144.00	1142607.10	1450053.80	904189.60
O08807	123121648.00	164337808.00	89610968.00	143792544.00	138066256.00	183832304.00	8490938.00	15245868.00	17773036.00	11922996.00	29579942.00	1700482.20	18201076.00	1404872.50	4734758.50	84961864.00	75007576.00	34401892.00	4531977.50	64915924.00
P62259	122990944.00	154888416.00	128466720.00	164959632.00	167364416.00	139053888.00	6924979.50	17289968.00	13883596.00	6119487.00	23036216.00	20850138.00	21517368.00	1437556.50	43165244.00	36048528.00	60414256.00	39430228.00	45749996.00	39583700.00
P47911	122772488.00	103694976.00	78308120.00	135986576.00	110192560.00	108971664.00	4136477.20	12311930.00	5874030.00	6513030.00	17246604.00	14003437.00	8638475.00	2850092.50	33162092.00	29152750.00	39123856.00	23010200.00	37737724.00	36753008.00
P62242	120868352.00	146378016.00	115965400.00	169400512.00	178756832.00	144737536.00	6884950.50	15720013.00	16979692.00	11277876.00	24558672.00	20228660.00	26463900.00	3832907.80	47278824.00	43408580.00	59932968.00	34863724.00	56570652.00	37133128.00
P61982	120261200.00	163176208.00	123128696.00	181006768.00	143951424.00	144617728.00	4796179.50	14163240.00	10443782.00	6449454.00	16095630.00	12022738.00	9948066.00	1009963.44	35538668.00	21978844.00	69956040.00	20526276.00	34985476.00	24777466.00
Q99PT1	120118160.00	152365664.00	117133744.00	211567056.00	164731680.00	173745216.00	6063357.50	15866798.00	16704977.00	13028892.00	23691618.00	19747570.00	19802804.00	1555515.00	41065592.00	48018604.00	79602808.00	36300292.00	54742432.00	39105736.00
P35564	119782512.00	159699472.00	134179200.00	133561360.00	146364176.00	134541792.00	23050734.00	10680454.00	15802668.00	13688312.00	20936204.00	12075076.00	23193848.00	8964256.00	44463480.00	39989156.00	63398992.00	41125932.00	31361452.00	28895638.00
P27773	118164432.00	162517376.00	113130384.00	148176432.00	154336112.00	124353968.00	18604266.00	10716929.00	15511333.00	10367298.00	23680564.00	11739362.00	16750369.00	3796002.50	42639040.00	28111806.00	71536192.00	30281838.00	40834344.00	31360982.00
Q8VEM8	117467816.00	163615712.00	136871648.00	111607576.00	108529656.00	128722160.00	10646320.00	4964274.50	4859583.00	5382737.50	10914076.00	5231636.50	8233522.00	4145095.00	29426914.00	25864088.00	44675256.00	13823473.00	23242672.00	25640100.00
P48678	113625328.00	126336016.00	63286880.00	121689808.00	97040248.00	93033024.00	19010694.00	17104514.00	7547097.50	9418111.00	14954308.00	12638881.00	15362336.00	19016778.00	44444612.00	24528054.00	34938744.00	30969464.00	33776100.00	20710320.00
Q9WV55	110748560.00	286527104.00	115635952.00	58125508.00	58136088.00	232940320.00	8299422.50	7760472.50	9266648.00	7095027.00	12742984.00	9990294.00	14999153.00	3448680.80	16080720.00	48230204.00	20018074.00	30984982.00	46727384.00	27041244.00
P97351	110542992.00	154479952.00	116461040.00	165835872.00	164545152.00	141755856.00	4186152.50	9552390.00	10264674.00	7355604.00	12453187.00	11012253.00	11818536.00	2289259.00	27290910.00	30005418.00	35072180.00	22466102.00	35712892.00	25441998.00
P49312	110139248.00	95347504.00	34922332.00	107913088.00	76566744.00	68398224.00	13706789.00	12019378.00	11013028.00	11917774.00	15110468.00	24623662.00	18868588.00	13564779.00	29203492.00	23579796.00	23555530.00	27654184.00	33353360.00	19542784.00
P68040	109380200.00	133934664.00	100642808.00	149293920.00	157170208.00	129742664.00	3183723.00	13914878.00	10475348.00	8454313.00	15943765.00	13547884.00	14311850.00	1102235.20	33292456.00	28616294.00	42515580.00	21567986.00	30804290.00	31137208.00
P62908	107694376.00	143946992.00	100513272.00	170623648.00	145299344.00	134163352.00	4312391.00	10660553.00	9898036.00	7650804.00	16246264.00	12798246.00	14586308.00	2552090.80	30588348.00	32041974.00	38038816.00	23572726.00	37086100.00	29328588.00
Q9DCN2	107040832.00	114590656.00	72352944.00	121552320.00	102455424.00	102682968.00	12242157.00	8341376.00	8195555.00	4951697.00	12635790.00	9277811.00	6978695.00	4372501.50	20183350.00	24279438.00	32284544.00	18460232.00	24243808.00	26617704.00
Q9CXW4	105762504.00	121279552.00	95743944.00	142758048.00	123299312.00	131834960.00	4416213.00	10567626.00	8743704.00	7429822.50	16639571.00	12213899.00	12269787.00	2540348.50	28333622.00	34838896.00	40168544.00	22302330.00	37676924.00	28765084.00
Q8BFR5	105289184.00	145879056.00	107190992.00	163912592.00	118907168.00	119895632.00	6704541.00	9992235.00	7051081.50	2614205.00	20060148.00	13520454.00	3260995.50	7184827.00	39452316.00	24946290.00	41089716.00	31054324.00	38819160.00	35215716.00
P08207	105227896.00	142455504.00	101483248.00	134335792.00	137484720.00	134852032.00	8168179.00	6926786.00	6574522.50	9584272.00	17572216.00	13063822.00	16038734.00	2706243.50	33496124.00	27387552.00	55445448.00	29988544.00	47701984.00	30424012.00
P09405	104699840.00	136017392.00	62261156.00	147755776.00	152420080.00	97151392.00	18062860.00	17561516.00	11205604.00	16149939.00	20153860.00	19625552.00	24935270.00	16184807.00	73199640.00	41288556.00	37017064.00	55471424.00	48470416.00	40512020.00
Q6IRU2	101617136.00	95487304.00	94066728.00	115525440.00	113039464.00	77744272.00	3078485.50	8783628.00	8577670.00	6830266.00	18269280.00	10222568.00	14030148.00	2093779.50	25324348.00	20786240.00	45731016.00	30115854.00	51635620.00	25156190.00
P68372	101002632.00	177537264.00	106341712.00	187277680.00	223968784.00	109437360.00	3602023.00	14649952.00	13273885.00	8838790.00	33644208.00	24668636.00	22701350.00	1568153.10	45114656.00	39202216.00	48004984.00	45572656.00	70281624.00	44678872.00
Q60930	99941048.00	93786936.00	79646240.00	84094456.00	89938512.00	110632776.00	9553840.00	9398454.00	5894035.00	6087066.00	11019784.00	7971546.50	6601046.00	4995134.00	21669530.00	29619916.00	29056498.00	13289812.00	18674414.00	29770618.00
P14206	97850040.00	114369792.00	84075008.00	122544896.00	168988896.00	108946440.00	1979994.50	8339146.00	5575684.00	6271097.00	16346336.00	13871374.00	10198218.00	318089.38	31974078.00	31507654.00	38721532.00	20772722.00	39387020.00	28267782.00
Q9CZU6	96558480.00	90132240.00	81557008.00	72504888.00	84678040.00	64335944.00	14561569.00	5433995.00	6241188.50	7276554.50	8613394.00	7639102.50	8879830.00	5043641.00	19872882.00	22160004.00	40998244.00	13517616.00	23910020.00	23909536.00
P27659	96339648.00	129126776.00	89398160.00	139015200.00	128679984.00	120783816.00	5255510.00	10931190.00	10092956.00	7877440.00	17049306.00	13065975.00	15151195.00	3569824.50	27866958.00	27917440.00	41883168.00	24407736.00	34428804.00	26392272.00
P08113	96172040.00	122929584.00	103860640.00	147020048.00	137328192.00	101100080.00	13463174.00	8406419.00	11078159.00	7904175.00	18160056.00	9530859.00	13957772.00	2710772.50	41370096.00	30713134.00	80358136.00	26246912.00	40770968.00	27179848.00
P62754	93742616.00	114566472.00	89795424.00	125702120.00	120587408.00	105885592.00	2997973.20	7543307.00	7146591.50	5010720.00	11428333.00	8858360.00	10852906.00	1847618.60	22867648.00	24658406.00	33756172.00	22378560.00	29847668.00	21045598.00
P50543	93686544.00	421854688.00	157145776.00	362976416.00	339375488.00	237643568.00	7437290.50	12823168.00	28031162.00	12405606.00	24398488.00	17689972.00	30798472.00	2566397.00	72213216.00	72424856.00	61093712.00	71838784.00	40079848.00	47487356.00
Q99MJ9	93285928.00	135901888.00	93549472.00	168406000.00	163847920.00	157577.38	9756788.00	14840571.00	10498256.00	11797587.00	19625006.00	15332994.00	18641246.00	2060179.00	25404444.00	47227964.00	38914508.00	40047916.00	50260800.00	31428826.00
P26350	92967536.00	124615248.00	73388360.00	186453392.00	208932080.00	106620960.00	504275.56	21545396.00	11831861.00	11857338.00	18962854.00	23759856.00	17680288.00	266856.38	52833924.00	37761448.00	37642604.00	42611420.00	50945668.00	32457654.00
P62918	89543784.00	119429840.00	68874520.00	126139744.00	106397280.00	106888768.00	3284476.50	8680239.00	7684520.00	5462643.00	11780432.00	8959169.00	9637805.00	1766987.20	19206078.00	19468904.00	29876646.00	15752095.00	26282126.00	22793728.00
P62702	88781976.00	159654176.00	110807208.00	116924672.00	119938128.00	60316188.00	3750441.20	12789235.00	10611456.00	8388022.00	16638178.00	13594731.00	14196878.00	3360514.50	28494508.00	28627112.00	34206680.00	25528916.00	35186960.00	30417716.00
P12970	88538192.00	115581224.00	85635072.00	129826528.00	128024592.00	110833672.00	4401106.50	9887180.00	8027086.50	7063532.00	12843607.00	11489004.00	11437132.00	2807002.80	26829666.00	20570538.00	32707266.00	18976226.00	28363466.00	22149418.00
