PROTID	Chip2_11cells_A10	Chip2_11cells_A11	Chip2_11cells_A12	Chip2_11cells_B10	Chip2_11cells_B11	Chip2_11cells_B12	Chip2_1cell_A3	Chip2_1cell_A4	Chip2_1cell_A5	Chip2_1cell_A6	Chip2_1cell_B3	Chip2_1cell_B4	Chip2_1cell_B5	Chip2_1cell_B6	Chip2_3cells_A7	Chip2_3cells_A8	Chip2_3cells_A9	Chip2_3cells_B7	Chip2_3cells_B8	Chip2_3cells_B9
O88207	4381668.50	4698682.00	4398608.00	5797908.00	7101515.50	5088142.50	185471.45	430896.10	446806.16	302996.75	482233.90	506308.70	676235.44	397121.62	999025.20	916381.44	1767872.60	1438616.80	1565280.20	806157.25
P47857	4369590.50	8177043.00	5152217.00	7602189.50	7310517.50	6348941.50	239286.10	280002.20	264016.97	204662.77	1500472.20	553889.75	506409.72	19504.90	691378.25	1447677.90	2436075.50	1362939.00	1091203.00	1452345.10
Q91YW3	4354988.00	4449034.00	4904708.00	5118965.50	5104983.50	5212095.00	563733.00	360368.38	413362.38	372854.70	618037.20	357723.50	524119.94	129564.48	1113114.90	905574.75	2079026.00	758775.80	1214801.40	1032392.50
Q9CPQ3	4349876.50	1119679.20	2727061.00	2924080.20	4210408.50	3011613.00	646564.80	89023.85	180918.98	349150.20	802134.20	858935.30	507001.94	199269.48	1320343.20	1239040.80	1601021.90	917177.75	720528.90	1224148.00
Q8BH69	4338391.00	5919268.50	4588626.50	6087457.50	5818573.00	4517470.00	119416.36	607541.40	499150.10	468348.62	700089.50	553440.44	628904.70	0.00	1417031.50	1280911.50	1415181.80	1296395.80	1835909.20	1231553.10
O70439	4337800.00	11161818.00	7492905.50	9826228.00	10697495.00	8724106.00	809156.80	710778.00	892113.06	405415.62	846171.10	638413.44	1016815.75	190811.22	1882768.10	2085878.50	4266179.50	1952124.50	2432488.50	2344471.50
B2RQC6	4326575.00	6093912.50	4039899.00	6410194.00	4932994.00	14471666.00	699818.00	846688.20	366651.34	359366.20	491131.06	410612.56	446637.44	202386.94	1063875.80	974744.00	2283816.80	2529713.00	1146227.80	973038.30
Q62193	4322545.00	3322280.80	5697060.50	8702482.00	8271174.50	5004186.00	177585.19	1173311.10	541284.40	226310.08	865690.60	953186.90	1807248.80	109921.39	1589048.20	1038521.25	1369005.80	1237161.90	1866757.80	939625.20
P47879	4319750.00	5819066.00	4046662.20	4191421.50	7337861.00	11337036.00	429414.28	86052.85	563731.10	145094.34	177145.20	274667.94	304772.47	37257.38	1816635.00	1365988.60	2500644.80	368315.12	836896.06	1496492.60
Q3TCN2	4318520.50	4880348.00	3428726.50	3939701.20	4852259.00	4858496.00	594053.40	242190.10	457021.30	212587.88	575239.56	564346.40	95398.10	82286.02	1247388.80	1628780.20	1207605.00	216137.83	1265021.20	1587455.80
Q9DAU1	4318422.50	5849454.50	4808395.50	7490266.00	6039968.00	4959503.00	559771.10	533370.75	329685.03	302812.30	583241.06	423673.56	458361.56	90336.19	1490325.50	915541.70	1587882.20	1077083.80	1231872.60	1027011.75
P47802	4314223.00	4866698.00	4307759.50	2839973.50	4125741.80	3682821.00	351540.44	342284.88	222317.88	94786.06	402208.06	356391.78	233313.47	243912.14	1084498.60	1044054.00	682849.60	853323.25	1137491.90	922899.80
Q8BIJ6	4298492.00	4184807.00	3854753.00	8258121.00	3481317.00	3815998.50	458973.80	295040.62	262549.88	297624.10	444438.94	269126.44	216629.25	242257.94	1204735.40	802207.94	1284890.10	628197.56	869022.90	1500703.60
O35682	4296827.50	3527716.20	3924778.80	3268520.80	3429122.80	2723598.00	448699.72	314723.34	422694.50	331858.06	986615.70	486106.84	616249.00	249788.58	1102831.20	895327.25	2414348.00	1197175.40	1534461.00	616429.40
Q9CQI7	4294452.00	4714965.00	2257044.80	5422679.00	4911534.50	4161421.00	506599.12	434101.20	309861.80	292618.44	382249.62	433751.44	497526.62	379121.40	1503879.80	1016089.60	1359844.50	1191037.00	1491902.80	949334.50
Q9D358	4282341.50	6179802.00	3822409.20	6084670.00	6564582.00	5265816.00	107195.27	463195.28	442588.60	492919.40	501717.10	436473.40	525207.25	57701.14	1282351.00	1292677.00	1599839.10	1611372.10	1679461.60	1339316.80
A2AWA9	4282290.00	5458795.50	4726627.00	5551819.50	5121129.50	4577240.50	193678.45	630205.00	565935.06	396798.00	782734.10	700446.94	700319.20	46224.05	1093275.60	1355763.80	2027489.20	1328519.80	1657095.50	1416839.90
D3YYU8	4281285.00	5857920.00	4307064.00	6272928.50	6842270.00	5104927.00	187004.19	603162.20	495636.75	440726.62	1125471.90	649106.10	508437.88	107331.32	1710609.60	1526089.60	1908938.50	1894370.60	1982511.90	1544195.60
Q922Y1	4279510.50	7396730.00	4044474.20	14628864.00	15244902.00	5612281.50	156589.83	1627680.80	1149483.20	1115754.40	1878151.50	1779770.50	1625073.40	62992.46	1107887.60	4017803.50	1898456.90	1311029.50	1622774.00	4117863.50
Q9JIX0	4276124.00	6474310.50	4937996.50	8170900.50	6472798.50	4532685.00	315472.03	767935.80	350406.97	266957.84	569380.30	537560.44	600621.25	0.00	1409206.40	1918683.10	2707556.20	1442523.60	2239678.80	1379187.80
Q9QZI9	4274597.50	8378723.00	4389216.00	5354719.50	5601995.50	4611757.00	1516373.20	133073.08	1745862.60	616779.30	850475.60	141632.05	1998235.60	123823.96	1130032.50	1065892.00	4388361.50	2051355.00	1255962.00	1508205.80
Q9CYD3	4269849.00	2655908.80	3807282.50	2947002.80	3649666.20	3461142.00	355361.70	194086.06	208505.94	141840.14	104255.12	330642.70	86381.69	87759.48	802736.25	654078.40	1499022.80	800538.40	484567.80	365942.94
Q9R112	4266400.50	8762576.00	7991020.00	7866550.00	3466775.00	7378414.00	816295.44	343989.88	343609.62	305374.88	1320583.80	441883.90	293407.03	32163.59	859871.70	2630473.80	1652500.20	653369.00	981869.00	1590301.60
Q9QYJ0	4256696.50	10439262.00	7296584.00	9927443.00	10145699.00	8014517.00	385030.12	230723.36	358694.25	405603.06	633358.50	558850.90	784225.60	56606.58	1517820.60	1233047.00	2747874.80	1498412.40	1746532.50	1332847.40
Q9D1K2	4252618.50	6576901.00	4635117.00	2394750.50	6616735.00	6560714.50	153879.77	164385.80	650044.44	229293.45	845040.00	744925.30	371686.38	210631.06	1552331.60	2235450.50	1925887.80	502501.16	1825849.00	2496218.00
Q05793	4252592.50	6296563.00	5209201.00	3928024.80	5949556.50	5832756.00	565829.90	844965.30	646138.10	172420.42	276638.70	443919.50	398142.94	151256.40	1017067.56	1246930.20	2555804.00	1141594.90	924662.75	1422004.20
P16254	4249137.00	7533619.00	4086099.00	7181974.00	5089487.50	4712273.00	254069.11	485219.00	369468.25	329292.90	1092990.90	572047.06	707974.70	149687.90	1168324.00	974612.70	1287596.40	1473297.40	3131170.50	1630716.50
P61021	4244932.50	5073987.00	3540345.00	4322037.50	4833240.00	3618869.00	349807.94	279599.62	420493.28	340965.56	426894.10	335846.22	318725.50	101731.67	900161.94	1146489.00	3092340.00	893436.10	1793665.60	1297690.80
Q9CPP0	4244871.50	2643117.50	3677131.80	6667123.00	6592616.00	2926108.50	485982.40	271036.38	314731.10	353816.12	528918.10	517124.56	669125.80	345866.06	1144034.20	1010817.06	1005555.70	821141.80	1102513.90	594636.40
O08992	4241206.00	5801657.50	3678091.80	4862570.00	5455919.00	3946696.00	1165058.40	613073.44	790916.50	440256.47	1164980.60	655046.20	537030.30	277698.25	1553105.50	0.00	2854282.80	958721.70	1075535.20	1272218.80
Q9JI75	4229801.50	5243612.00	2376906.00	5302361.00	4007571.00	5489924.00	112859.75	329877.34	338903.94	385670.25	783649.06	442506.72	458308.34	21520.11	2450227.50	1683910.80	2497595.20	629305.06	1612814.80	2067550.00
Q9CRD0	4227261.00	5013230.00	3676405.20	6067564.00	4210532.00	4340140.00	435034.66	529575.44	421691.00	502551.10	995522.44	582155.40	489974.66	406209.44	1136939.10	1199636.50	1020782.40	777494.56	1185325.80	1015402.56
Q9CYH6	4221424.00	5818891.50	1781885.80	6645709.00	5297704.50	3935284.00	795051.60	354194.12	353310.34	454141.38	640893.00	651089.20	665906.40	1046332.20	1368869.10	1452960.50	1278940.00	1049559.40	1472409.50	943765.00
Q921F4	4207541.50	4997274.00	3110048.00	5228726.00	5111351.00	3817949.20	410373.70	318476.25	390671.38	339858.66	277040.70	488417.20	480182.94	62497.55	1294772.00	1149035.80	1345920.10	1081761.50	1456047.00	1007573.10
Q8C407	4206303.00	7459237.50	4279343.00	6285204.00	3426591.80	929949.80	553038.90	106386.79	127082.65	102586.96	186588.92	113259.59	141301.92	81533.22	1420463.50	1352855.50	2483240.20	1537778.80	1759462.00	1149840.00
Q61072	4205031.00	5430745.50	4545350.00	5108947.50	6024934.50	4672670.50	934178.20	358893.50	501747.25	246221.86	513627.12	464919.28	738621.90	316557.00	1059223.40	1006213.56	2084387.20	1812808.50	1349960.90	1015614.75
Q8CIB5	4203693.00	4487043.50	5029968.50	5435309.50	4654887.50	4024175.50	148004.78	582190.90	260032.30	309870.06	838837.70	700006.56	317050.00	59554.25	691944.40	902007.00	1546409.80	1575137.60	1373872.40	928375.44
P28654	4182008.00	6186165.00	5965988.50	3375865.50	7256142.00	6479690.50	448087.06	258903.62	1650121.50	261033.69	175050.25	96132.48	271675.75	82509.95	721992.75	1307162.10	4399180.50	956970.40	499539.38	4504130.50
P55096	4169764.00	4055692.00	3443563.80	4585415.00	3571690.80	4008380.00	546027.94	191049.16	345739.62	277147.50	560022.00	294849.03	419947.40	227289.36	1096938.80	955075.80	2620935.20	729782.25	1042033.40	816581.75
Q9QZ08	4169680.00	3697549.00	3504546.20	3401534.20	3817271.50	4107260.00	42710.10	363073.25	317477.70	345621.16	585970.75	345564.00	272162.90	0.00	1339055.80	1466768.20	1443811.40	683618.30	1530900.00	1273363.50
Q810B6	4164336.20	6049417.50	5130348.50	7161982.00	7183857.00	5648142.00	175665.52	258102.78	272853.75	236757.16	439617.00	344032.75	274510.90	13108.89	671510.25	708574.90	1327649.90	759355.00	1220853.00	740534.20
Q99M31	4159308.50	6340846.00	4776609.50	6811249.00	7385977.50	4105331.00	96739.20	484788.56	327818.50	269052.47	1096522.50	906744.20	1041684.00	31272.16	1400686.10	1401138.20	1580783.60	1564562.20	1668921.40	1418687.00
Q6P8I4	4156125.20	4415260.00	3173880.50	6495889.00	5159550.00	3786240.20	152585.92	594677.90	357124.22	298579.06	713246.00	551513.56	665602.40	90243.13	1163908.50	1102512.10	1482319.90	1274297.20	1459625.60	1378631.80
Q99LY9	4147623.00	3984508.50	2808650.00	3485154.20	2668738.80	3041395.50	68964.41	308323.47	284939.50	221413.19	120129.66	97792.95	62418.53	412163.75	707485.94	762108.44	1351403.20	581951.25	971556.25	1059997.50
Q8BGS2	4144116.00	6342596.50	4435407.50	5781948.00	5725944.50	4754552.00	265350.20	522510.28	450483.34	389249.66	1062203.60	538374.06	770253.30	85307.94	1447971.60	1450698.60	2776631.80	1062534.60	1507042.10	1681189.60
Q924T2	4143719.50	4620773.00	3970317.00	4345904.00	3968168.00	3719577.00	436497.00	248753.94	229375.12	276817.03	436366.90	352420.28	361709.60	1163317.60	983085.40	859948.06	1239647.60	634111.10	791496.50	842518.00
Q9DCT5	4134501.80	4323017.50	3212349.80	5459950.00	4644135.50	3608387.00	224607.80	369867.97	218858.27	128505.75	715334.40	354803.03	491666.00	68950.09	1134169.90	641259.56	1442269.80	761247.30	824223.56	630772.94
Q8BK67	4117301.00	5088040.50	2417675.20	7089275.50	6811272.50	5264140.00	85051.77	738449.75	398843.90	659234.70	720217.10	997120.00	1136506.40	98362.47	2262610.00	1765329.90	1880230.10	1960927.40	2245429.50	1577070.50
Q11136	4114833.00	10147718.00	7641882.00	9168004.00	9831571.00	8502625.00	314716.80	1109052.10	395332.12	548176.00	785835.50	366026.10	328039.88	17445.93	1789053.80	1946732.90	3281787.20	1634478.00	1261233.40	2133156.50
P61924	4099094.20	5381423.50	3873186.20	5019983.00	6056604.50	4325127.00	171169.10	376314.90	434869.22	367896.75	727505.44	444929.90	474498.47	0.00	1125033.80	1760081.40	1669484.90	1196792.50	1376429.50	1370392.40
Q9DCM0	4085700.20	4928611.50	4847035.50	4560091.50	3860317.50	4115125.20	472676.70	504684.06	276658.62	327215.47	566035.56	307341.16	208665.50	241432.80	1321984.50	2250001.00	2256081.50	1204823.50	1186005.80	1561965.10
Q9DC23	4082128.00	6061760.50	4355695.00	3795117.00	5022789.00	5218716.00	482258.10	248980.11	330913.20	208809.83	609889.25	287610.94	311126.22	49539.76	1466743.60	927273.90	1399366.10	460137.20	1239349.50	893331.56
Q62181	4080981.00	4916277.00	4863950.50	2649020.50	6507244.00	3784193.00	408846.22	2451738.20	610160.60	501354.34	116602.88	158173.05	536962.80	34266.67	1037939.75	996202.00	2581144.20	1602332.10	566355.60	963422.40
Q8BMA6	4074688.50	3311905.00	4484346.00	6400041.50	5554561.50	4890765.50	197436.94	816831.00	473170.44	469455.20	660455.80	692262.80	315229.38	38713.23	726204.75	998374.50	1248466.80	1051964.50	1198863.90	1735727.20
Q91W59	4070412.80	4123165.80	3269230.20	7303364.00	5249384.00	3439281.20	84413.89	387939.75	312430.78	256395.88	404180.75	408844.75	398754.50	65512.46	1165253.20	1079518.00	1475083.00	1062955.00	1384064.20	786649.70
Q61703	4067135.50	5268470.00	5714472.00	3894225.50	6158387.00	4418241.00	802763.90	133415.89	1465666.00	433088.78	381230.88	259382.62	1126224.00	150484.40	850801.80	1552418.20	4451293.00	3213881.50	827409.20	1334870.90
Q9CPT5	4066839.50	4124309.00	1767896.50	5687234.00	5585424.00	3710191.80	414541.06	412107.16	309990.60	274745.00	430227.80	598114.50	471375.62	624450.60	1243530.80	1416371.00	948150.25	879075.70	1341110.50	767662.80
P13864	4066002.50	3043477.00	2371397.50	3946546.50	4687262.00	2535791.50	171553.20	1230673.90	227561.12	291666.06	82126.44	596803.60	425256.94	0.00	964910.70	773759.06	827177.75	842973.25	1212239.80	464663.88
Q3UD01	4063147.20	4314985.50	5047233.00	6453173.50	6500186.50	5359440.50	228395.94	496626.50	535412.30	363508.75	801437.30	825885.94	774912.80	0.00	1703174.40	1661676.60	1426651.60	1289134.20	2498065.50	910996.30
Q61398	4060553.50	5867085.00	3017576.80	3115920.80	4429525.00	4904397.00	1312712.40	281690.25	595677.40	371648.38	210170.50	236370.75	687987.44	320671.20	1765365.80	1600349.90	1973935.20	584368.40	764676.75	702224.75
Q91VE6	4057844.50	4885608.00	2838896.00	5510820.50	5417720.00	4200925.00	590243.25	616851.90	263625.75	349403.00	409155.28	500837.50	585791.40	792655.00	1445565.60	1180875.00	1006749.56	1251585.40	1369420.50	961112.80
Q9D898	4046118.50	5710351.00	3363581.50	7178682.00	3644704.00	1538104.40	73835.84	0.00	0.00	0.00	320387.30	75581.38	0.00	0.00	650989.50	523182.16	1979301.00	241838.25	1002487.06	378189.88
P97798	4029016.80	5430279.50	2418599.20	3713504.20	4545577.00	5021036.50	1407452.90	333939.06	459139.10	369920.62	559769.56	247771.48	364203.60	53464.78	937963.20	1030332.50	3208785.00	484043.62	878433.10	1079399.00
Q8BI06	4025247.80	4059101.50	3257207.20	2436446.20	2538223.00	5680957.50	0.00	141533.64	1420669.80	140986.44	473192.94	84159.89	580027.25	243191.36	454267.62	1386761.00	4409005.00	486239.90	596260.60	535071.25
