Anln
Anp32e
Aurka
Aurkb
Birc5
Bub1
Cbx5
Ccnb2
Cdc20
Cdc25c
Cdca2
Cdca3
Cdca8
Cdk1
Cenpa
Cenpe
Cenpf
Ckap2
Ckap2l
Ckap5
Cks1b
Cks2
Ctcf
Dlgap5
Ect2
G2e3
Gas2l3
Gtse1
Hjurp
Hmgb2
Hmmr
Jpt1
Kif11
Kif20b
Kif23
Kif2c
Lbr
Mki67
Ncapd2
Ndc80
Nek2
Nuf2
Nusap1
Pimreg
Psrc1
Rangap1
Smc4
Tacc3
Tmpo
Top2a
Tpx2
Ttk
Tubb4b
Ube2c
