"","05J_C10_A10","05J_C10_A11","05J_C10_A2","05J_C10_A4","05J_C10_A5","05J_C10_A6","05J_C10_A7","05J_C10_A9","05J_C10_B1","05J_C10_B10","05J_C10_B11","05J_C10_B2","05J_C10_B3","05J_C10_B4","05J_C10_B5","05J_C10_B6","05J_C10_B9","05J_C10_C1","05J_C10_C11","05J_C10_C2","05J_C10_C8","05J_C10_D1","05J_C10_D11","05J_C10_D2","05J_C10_D3","05J_C10_D7","05J_C10_D8"
"Ddx46",17.8564548830599,17.8436203929036,17.9848269945355,18.2306952911663,18.5289396148488,18.0211111743003,18.126659191782,17.953064899294,17.9888225485555,18.002660735013,18.0367416699441,18.3623083654057,17.5523568773784,17.9820624117513,17.4960101212905,17.6902997210951,18.0327634522731,18.4897988239769,18.1036299922974,17.2882468348937,18.0013618489355,17.7037565497936,17.4692074276975,18.4562212041406,18.288564987526,17.9704597790432,17.2396659118437
"Ddx5",21.3291159283613,21.2033240312628,21.2857761973746,21.7170126067216,21.459933896075,21.6548848345641,21.5272290469209,21.2625064674069,21.373838618751,21.0849179092714,21.0525295694311,21.3461218947457,21.1142293305668,21.2258339666495,21.4301472256544,21.0115660309484,20.9863713160492,21.5795924192241,21.3910449456028,21.6843369571991,21.4491223816304,20.664134922751,21.491931758141,21.3701045849973,21.2340991104012,21.4768960797316,21.3489790423827
"Ddx50",21.610495845557,14.4725333253359,21.4939846482877,14.7779676014515,21.4468394825167,21.5300091173685,14.4531782282398,14.4584707549952,21.9478481873036,14.4528281189843,21.2081836865086,21.518845207413,21.1675236931713,14.9556728545717,21.2781557947445,21.1864336354849,14.6828509350622,15.5708284138379,14.2700629951242,18.8321024415498,15.0035362912493,21.8897148788427,21.4318410155769,16.7509042972319,21.5709991465174,14.7484515275458,15.212190376322
"Ddx52",15.3190700787363,15.3737181206894,15.0537781069997,15.3515777361264,15.7124361624353,15.8137002478698,15.6095401690069,15.723295893922,15.4702085275259,15.3687926084148,14.5219651782291,15.7360236768311,15.1676114486309,15.4575874008779,15.8738177212074,15.4681545817236,15.0548672750576,16.5457625453747,14.8951789898765,16.5228905407134,15.6477859847521,14.9274002710264,15.6727535992495,15.4602675026782,15.3011104153921,15.5020840777613,15.4964322723272
"Ddx56",15.6032155752974,15.8291721455912,16.1296848192964,16.1222502274788,16.5067733457645,16.0918867623454,16.464100990792,16.2603412941179,16.2732856324086,16.5184776547864,15.8647251715522,16.8985931002351,15.5427854422544,16.2622378297937,16.0284086675022,15.4263596187182,15.5546828525249,16.5807469982694,14.8919708596304,16.3337733828006,16.4447159397885,15.0957837709773,16.6074437774375,16.9269719436132,15.9689993612409,16.2086282509335,16.6240868987267
"Ddx58",15.4139319862163,15.5515031301872,15.7654011931372,14.7050493828987,14.2013653163913,15.4493969891392,15.2068866205237,14.8475314079554,14.6654330970528,15.0257839047273,14.9736701960872,15.3499879188827,15.8118995017792,15.4461063437321,15.4604856092767,15.8687200436444,15.2356807724238,15.3553414209352,15.4146910756103,15.0427538977496,14.9924874879141,15.6101485964069,15.8369695904957,15.2541390311728,14.7216346298093,14.3103687180955,14.8993143886087
"Ddx6",20.6477599704936,20.8345369100107,20.3213640575492,20.6555567509318,20.4993315505583,20.139757844899,19.9061367238347,20.4237793212155,20.871834076592,20.5942734030344,20.8390894927456,20.658289506386,20.1979128076961,20.1462261877756,19.3131759522072,19.8142043704441,19.8886049728743,20.6362825150647,20.3411001754405,20.6163194604789,20.2176295330387,20.8971137311627,20.8385802824788,20.6117391028191,20.3321631436865,20.0219373786099,20.1989907169973
"Decr1",18.7132091089365,19.0033640500287,18.6300838182103,18.1841581485091,17.9727892490722,18.6037131837042,18.6521420923084,18.4051327716325,18.0505397914888,18.2448524833713,18.5282774697658,18.6219565105042,18.804653789458,18.6780766439215,18.6376813335042,18.9865281228037,18.3234253446506,18.2614080854645,18.2223489502476,18.1544259194625,18.4428047403697,18.7429185315265,18.6114590684338,18.631144340689,18.9663215008812,18.164740746026,18.2504732472971
"Dek",18.5629912816043,17.7669262658776,17.716903877089,18.3216356996606,18.3782366845235,17.1143895441166,18.3183943100161,18.3181842633468,18.2119779030848,17.9573371746546,17.7412095343346,18.0024133749089,17.3101195771468,18.2742105366994,16.8195592980099,17.5154596118881,18.0026503632087,18.4720303259976,18.199125076328,18.2033081186972,18.6971472520558,17.8167823163642,17.0571915392494,18.5216247618697,18.1046136147187,18.4073628533429,18.2873651008042
"Dennd10",15.7672115565082,15.4402585952455,15.6032549068937,15.4781552140472,15.7153670413786,15.8926756690991,16.0728090187897,15.730594559499,15.9221913406239,15.6407716725545,15.2894150067453,14.9072318485088,16.1786549260445,15.901218036264,15.6310531293334,15.5449918010508,15.8074159712729,15.5977020703891,15.9471609867761,16.1567397441333,15.6884808068253,15.6150456239918,15.6071998221143,15.3533417443499,15.892061043919,15.5837359234172,15.3423759085967
"Denr",17.5957229548865,17.8866551325594,17.6216987178552,17.283597140886,17.8904476159549,17.5329424831399,17.8740820491562,17.9573285360776,17.4266084707815,17.8259265220785,17.6518844595505,17.2780740461962,17.8162618012411,17.541936152977,17.7757849642699,17.867819082023,17.7200263004362,17.3382482843748,17.7933996095047,17.4903598633672,17.7071441483205,17.0138670377716,17.9927524283203,17.4647195119321,17.3590446303952,17.6861084936758,17.587878992994
"Derl1",16.007701903311,19.4196325706377,17.6640770066182,18.217234396378,17.624617495327,16.6643733502975,19.5614757613202,18.1633553380546,15.7834153152052,18.9425052479793,18.3272928716274,17.6521454834289,15.1155565767871,19.3938327214446,16.0863562408469,18.6321429050714,18.6795932382266,18.4195715199192,18.5135623149823,17.7426896829671,18.2500018788416,19.2760462298173,16.1373572542896,18.2800245833649,18.8003166994717,18.5031776404577,18.9089518664029
"Dhfr",18.9005615266018,17.5732216395687,18.7909427346981,18.6522872701231,19.0769377479179,18.6409490132758,18.3000247607432,18.829243714309,18.8857962059027,17.7078630555574,18.7134790398494,18.7356465775543,17.3726533762717,18.0879241327825,18.7198485498982,18.1924190808178,18.7834168854634,18.4042389008735,18.579525831977,19.4116544763715,18.3910062934003,17.985289671467,18.380513339868,18.6932194034456,18.5583275004592,18.6438407814528,18.5593521539385
"Dhodh",14.5783332702599,15.5925340500936,14.3939518129727,15.5229177022771,13.7838347970394,14.6189573522561,14.1200455355743,14.6339552493996,13.8688959451827,14.4146458108989,14.8971382218663,15.565992287866,14.6492964388501,14.7594546188474,15.0015099080881,15.4038629375351,15.4060502522704,14.5202195529484,14.0901217596408,14.2105953550029,14.8596204821838,14.2185234050146,14.7626609387325,14.9610744072319,15.6487181910056,14.352337446258,14.1755486347302
"Dhrs4",16.6874412917094,17.0696968837047,16.47510471565,16.4991898076876,14.4195505341163,15.6274267013541,16.955475675269,16.8305041019952,16.5240182016153,17.0447006309187,16.528133381489,15.2580679226836,17.1972472125927,16.3152935109871,16.7455101170116,16.8992541490223,17.0419696623759,16.1744002690606,16.8932323709228,16.6236008192928,16.7689804179059,17.0877013794312,17.0435084977722,16.6269045428682,16.9279963370704,16.4827097220282,14.7141615639554
"Dhrs7",16.6847014863045,16.5194495431134,15.5566559250425,15.8831822218647,15.153074953673,15.6808496594074,15.2845776315397,14.4161032521783,15.8998397920629,16.5031779404028,16.4077581299271,15.112481191939,16.5826871304912,15.9534759220904,15.3315895217339,16.7613862057591,16.2938406062868,14.8636059134075,15.5393169875149,15.3606239174717,14.4972161038543,17.3062182024135,15.8352899677807,16.5199968768122,16.556978779331,15.3926774800203,15.6093143185913
"Dhx15",17.7493823738291,18.8818836297617,17.408038941706,19.3820579185579,20.3579154664175,17.9140760360894,20.0659233889196,18.3005724474788,20.2354916192083,18.0904936732484,19.8713514593795,19.4011887090428,17.037311177633,17.1703622794899,17.7302801165043,18.4006392842019,19.347754574565,19.5210646736965,18.4472488467448,17.8155670381219,18.5830255682018,18.5857252489501,18.2057063444816,19.4512556267791,18.2163680145195,18.5339526728579,18.9334414265353
"Dhx9",20.675220441128,20.37018821193,19.8359997560914,20.1056378746806,20.4814572651703,20.3131596401246,20.5429546399521,20.1412423943745,19.8867563434599,20.4296271948221,19.771694608593,19.9126918129083,20.2785538627475,20.3341974971888,20.5461903410259,19.6254806354357,20.3503174876843,19.8921888903412,20.1636566648364,20.4054882643729,20.0249366699114,19.2212617260087,20.824567702297,20.2976049725218,20.0303312470093,20.4304149587207,19.9256789128476
"Dis3",16.2580208588525,16.4962566163608,16.8592037427515,16.6717789801041,16.2299000174316,17.3685991272073,17.228409411769,16.7820078270756,16.1179441602667,15.6283919481379,15.5927025452266,17.3114612063614,15.312136903213,16.2272341881914,16.0976694821504,14.4377788945863,16.5569143082022,16.4428407563095,16.5590941057157,17.6102569740426,16.9018863419717,15.1444020103783,16.4851775625884,16.6332801757905,15.9338471309707,16.240114305018,17.0962707371806
"Dkc1",16.1198839736453,16.8051517747872,16.8111588212472,17.4570916527578,17.5893964514811,15.9363273618189,17.548217541709,17.015248692388,17.1005898379778,16.1073131712943,16.7136775554399,15.9950788990411,16.15537492304,16.6966849565612,14.9272300352985,16.6056456166769,15.4197831289787,16.8687737129807,16.0242034062408,16.6029419538372,17.3103997891488,15.560361618454,16.785204295293,16.4245328953992,15.8521674652418,16.8520782580578,17.2396749142561
"Dlat",17.7321968814863,18.4553183417559,19.1213732781622,18.80986574319,19.0286479912953,18.5126632606999,18.705205736116,18.8873038626267,17.5485739222765,18.6979461381498,19.0369425101847,18.6143858001807,19.1213070137942,19.910260270005,19.4798373957026,18.8666651905273,18.9697592941156,18.7124874776768,18.6065962335896,18.0664709178481,18.6391044245751,17.2207261477472,19.1257593409027,18.5600164683984,18.5285634461912,18.8556865444855,18.7511817445084
"Dld",19.8511721258551,19.6559681417304,19.2450474678002,18.9543908452895,19.2787736636782,19.9967884276944,18.9132197024147,19.4456387629728,19.2394775694622,19.284506741157,19.9085641683968,18.1615540564131,19.6530269522089,19.7620391974832,19.7453143717171,19.9410637192205,19.6607505361663,19.4504948147049,19.7225228559506,19.2284950575865,18.9313650267213,19.8607382621535,19.5589916216937,19.4683681231037,18.9633983044967,19.1436364761951,18.5607325143447
"Dlg1",18.256266184772,17.7178699128387,17.652070939611,15.4827536674437,18.0345786982976,17.9323847750771,16.6412017240431,17.1621252504277,16.1768669071924,17.2540966279644,16.4150940708633,17.5222299165014,18.2709200811564,17.0565407837379,17.4657244832569,17.9645842197102,16.9999590860302,17.068974085949,18.2069114113001,18.2032378478832,17.4452686446523,16.823349720929,17.9590169781923,17.7900784869256,18.3556007155243,18.1662236962696,17.3892151750074
"Dlgap4",18.7457859497611,16.4834022500177,15.894024276573,15.3641362846734,17.7152630505597,16.0083863280989,18.1414105812937,15.3395558740399,15.4747394468959,16.0469813616162,15.7934341169517,17.9293764246699,16.5131997406772,16.0754061685579,18.3515890544125,15.6070865902651,18.6181168875895,17.8787037890562,18.3887531453234,15.8196157223236,15.9343525494469,15.9311627019929,15.8647566968916,17.9751391595349,18.4388101048457,15.2694569260634,18.1822833440509
"Dlst",19.4669385617363,19.6357251328276,17.9431499737653,19.6448154980716,17.5932553634592,18.2407120833431,17.5089228797138,18.872577670933,19.056334740054,19.8362689665895,19.674059630264,18.472434701066,19.6978619900446,18.2715684138739,19.7482897035217,19.7612145800375,17.9060123429526,18.1616781909373,19.552374968479,18.8978770163481,19.4663058981544,19.9276933199902,19.7427069372162,19.7974871521061,19.1442942517121,19.0723759233801,18.5844645864112
"Dnaja1",20.3142364946636,19.0539204154459,19.6922259827691,19.2869775151219,19.7552050781551,19.327629021929,19.4201342528932,18.8278090285051,19.0873292337264,19.2361536482021,19.6263173490752,18.72639539786,18.2125137284738,19.9819662426003,20.061705950769,18.7880978174689,19.4033140968686,19.4180642847626,18.7121732863475,19.0627178761756,19.6911346921372,19.9250800563988,19.1227343697273,19.5401829414101,19.6505656992783,19.7359675865848,19.5873536953446
"Dnaja2",17.3901859183633,17.8986827499595,18.5377787100643,18.2770526668733,18.9936520668818,18.2486309045293,18.5254733407048,18.8058148546179,18.4790001697021,18.3305970189796,18.4462353491377,18.3477109814565,17.621169846371,17.5602690222317,18.4649750988465,18.2323871757555,18.679633116753,18.6317470293221,18.516850263116,19.2998202483697,18.4282266153192,18.2324238783249,18.289333973435,18.4801382750425,18.6010211983645,18.6646364295186,18.4260554612646
"Dnajb1",15.7624929218084,17.0802726340018,15.7237685762157,17.3518019256806,17.8223304255754,16.6861801155046,16.584707512003,17.8427661784326,17.5835373680877,17.3043692064597,17.7058498313899,17.8870317382355,16.6197667784818,16.6552444815566,15.8984490337049,16.9130775958461,17.4701038039006,17.9030623771337,17.7670714991316,17.2636129055815,16.9000336389241,16.8984004678117,16.0088777710748,17.9994854375415,17.0828677000701,17.6932886253573,17.7721036795763
"Dnajb11",19.3669314365878,19.8269276131126,19.439304017423,19.6950629178583,19.5367242385449,19.364537430985,19.1757362424243,19.5538098771258,19.2651323677487,19.6772461963486,19.5561128971775,19.2638851552568,20.3580155712877,19.9022207608071,20.1536823500109,19.6047166547082,19.8049136087924,19.3996466972589,19.5625060664349,19.5386755269675,19.6770194085973,19.6838368844157,19.8019825189042,19.1908134791555,19.7640125779122,19.3849545537676,18.8728379802054
"Dnajb4",17.9699247207937,18.5061930407961,18.9338390807682,18.1111701338179,18.3685022784211,16.9846146932461,18.3292416841264,18.8850909754479,18.398168343617,18.5249734365384,17.9656804543241,18.5132605855562,18.4751099437241,19.0432016625654,17.183876881137,18.547428821433,17.982514760043,18.2237438041863,18.465797985189,17.3037539143693,18.1108684126493,18.519925591586,17.0763367130688,18.0902664005029,18.7892480816867,17.9514510791434,17.4784515857308
"Dnajc10",18.3855569604611,18.3465606079134,18.1966552597339,18.0042283099909,17.7041005102725,17.6872344525607,17.6337121988201,17.7516439363632,17.9034085190841,18.0270442497356,18.1167466556969,17.8008375493988,18.0710938593653,18.0315723236327,17.7856938104587,18.2517661323846,18.1673926718709,17.6466666661624,18.3497102199575,18.0979530927882,18.0597078650193,18.6396756689077,17.6440943554145,17.2297594357619,18.0577662178099,17.9122514982673,17.5154171411348
"Dnajc2",16.7181748813729,16.9354584282133,17.298851021922,16.2325028687217,17.5598758966074,16.8963376307321,17.5816925357997,17.3005895490349,17.5701763335815,17.270414620304,17.075983389592,15.5178773232724,16.4820769531949,17.0924412879903,17.2771884968561,17.4451974085659,17.1199524652459,17.7726312074472,16.3739570127166,17.5587455110304,15.9372605035561,17.402476762424,17.2343294035362,17.1112344008349,17.0162273645318,17.0019541206407,16.5554752821299
"Dnajc3",17.508826289219,18.0375431383244,17.62050010693,17.161761514996,17.662156046984,18.1836252567578,17.6524158472224,18.3291729250392,17.6156116020341,17.8762592118974,18.137140629087,17.5888173206321,18.1926459900498,18.1518253538505,17.0200383695227,17.9990462229781,18.2078160075738,17.5418144773366,18.3151388587491,17.9867187713638,17.9853778114354,17.9058022609285,17.5884632350726,17.4531209225625,17.8857082794693,17.8062122129676,17.4151982034496
"Dnajc5",18.0781655899302,18.127087638542,18.4537709155438,18.092941964982,17.9725313087981,17.7880506042617,17.8531657293823,17.9697384001589,17.6584965362525,18.1546756824496,18.1785838723917,17.9745333238414,18.2001863091161,17.911474377744,17.7909993843812,18.4068669562031,18.0641278338869,17.6802140532684,18.5934346195008,17.8364153605852,17.9845526229945,17.9790109107309,18.0074693834894,17.606340502151,17.8477183868754,18.0562268568893,17.7876458908518
"Dnajc7",17.564835480763,17.4629240914631,17.876292169075,18.1677734977057,18.3194754361613,18.2292116388669,17.7295714258277,18.058232289015,18.0256208074342,17.8490009319256,17.3049030597969,18.073401059773,17.0108400969667,17.2629286554167,17.9340023643837,16.3651950702758,17.8557022659499,18.3598487376866,17.8656159103451,18.1539760226741,18.1943667012871,17.4832078360744,18.0328437620076,17.8594690266606,17.390330446046,18.0280725733954,17.6063384519729
"Dnajc8",19.5162425779309,19.3359842096208,19.5388261463159,19.5792283095142,19.6475725742465,18.3900014246591,19.8590421880149,19.5596053058661,19.6658433022794,19.1338630955454,19.2026001226047,19.6562135819152,19.2332740208672,19.602732391821,18.6240261229571,19.0294466088669,19.3942430642037,19.8612751090774,19.6357991870088,18.837756067676,19.776565484708,19.4444858457849,19.8074811609922,20.0321009665437,19.484192354454,20.169597328499,19.7302450981086
"Dnajc9",15.9066623079285,14.5111882367658,16.135311361353,17.0952637307696,16.7586004853156,16.8791331027491,16.4314518183044,16.5798795610815,16.3572677150592,15.4178891790174,15.3894914543842,16.7161989193649,14.389148041921,14.9969346610756,16.0596920454062,14.9091827757188,16.1840322180139,16.9144880782947,15.0547281826274,16.8765627403004,16.223979750379,16.0583096104913,16.4340536912456,15.8299936493113,16.7366145595461,16.5149609543218,15.9854843885752
"Dnm1",16.0788441558654,16.6510830349523,16.2986196885716,16.0520426468112,15.7982764807463,16.276435006137,16.4917620038911,16.0103099140202,16.3824358970353,15.9509652493701,16.4557749348936,16.520293127796,16.8090850349293,17.2594043421468,16.6544640834634,16.0901154236843,16.2738892878351,16.6492083717906,15.8949591849438,16.789422057246,16.3265425383738,16.7039999457449,16.051379110902,16.0134719349765,16.0844173888181,16.1520421782263,16.4968394251764
"Dnm1l",18.8006238892542,18.676721127963,18.9152452954331,18.6282207452694,18.1398595310618,18.9423979520073,18.5870238880465,18.612317406589,18.552093511486,18.7387651692181,18.301968197278,18.4371646458473,18.676680907868,18.6778523212044,19.3312983881043,18.7619418451365,18.5624155083905,18.3830922645382,18.6432930930289,18.3646572644957,18.8380515782953,18.6020852238487,18.8940146102654,18.0469958167669,18.5552437124722,18.6336019288575,18.465387034244
"Dnm2",19.128926770134,19.1412889370249,18.60679531145,18.5411285016822,18.8820631586123,19.1317460110022,18.8061142342287,18.9756986305743,18.8612969531118,18.5856278248798,18.9548112360331,18.8993687377548,19.2108934357662,19.4375251902095,19.1810312327928,18.8357364706775,18.4843193369553,18.8352051668532,18.8539530336578,19.082052803255,18.4105128330106,19.3115771330797,19.177867198378,18.3826087135219,18.3213618097952,18.5556413832567,18.7013764888515
"Dnmt1",17.2501704703438,16.1116376366251,17.6681909475621,18.4824387355189,18.6086133159935,18.00991190034,18.2201766761667,18.0023462470573,18.6783354242313,17.7754900390175,16.5594243500003,18.9742805359287,15.2702694945155,17.2327042457995,17.0963716679265,13.7066308592104,17.4998091157065,18.741756583177,18.163969941054,18.4643459569711,17.8056436273839,17.8315091914001,17.2392031154178,18.0314198112573,18.7164328673132,18.8566414964058,18.1472772243016
"Dnpep",20.73551923531,20.9227700912219,21.0826960671991,20.6607711820312,20.8314517047081,20.8728593538896,21.2272192501316,20.866927478085,20.6074541057325,20.7963130848851,20.7224128749919,20.6282236095099,21.5072068379946,20.6661172798968,20.6324237247058,20.9883356336619,21.0829391324855,20.8597352094902,20.7526360879028,21.1621076778866,20.6428260414647,20.9996878837018,20.1852579131682,20.5764317240966,20.9078049756481,20.9490370401152,20.8912038180822
"Dnttip2",22.2646620449181,22.2784266458821,21.8605141182867,23.0797790088681,22.3173473243477,23.0201101172454,22.031663555431,21.993573975366,22.2547632904333,22.6184521515165,22.2996412983316,22.3137251509544,22.1680116940342,23.3572388626674,22.9970531176016,23.0551318225074,21.7595459071085,22.3530928778871,21.3398197641338,22.6299501760241,22.4308925628229,20.9914394360273,22.7461145939326,22.7201948363126,22.8375647718822,22.9544057880614,22.7519448051579
"Dock7",15.2186005960063,15.6786286830268,16.7012987042463,16.7389545179043,16.0999075906356,15.0475749970563,16.1086442599823,16.547407838156,16.2388903238727,16.0830734118026,16.2015074056497,16.3092429318093,16.4891357040179,14.7252340131498,15.4511586676251,16.6212121611191,15.1195588887039,16.6514486154538,16.1996253032763,16.0039073822193,15.8948018711023,16.1107188403105,14.951513538561,16.2911226823832,16.0533076613829,15.2322505420077,16.884719651665
"Dph6",18.0075756702382,17.1881454266314,17.2925720250569,18.0067718129929,18.2557642696796,18.9988155578214,18.1020164749302,17.4386992939458,18.2689017285413,17.4567560287706,16.8362123002132,18.4262870170753,17.6312326813016,18.0970627893729,17.5630554858909,17.1271341546757,17.8610089163531,18.454879442985,17.743119101611,18.9746014784949,18.2116567861644,18.341162155521,18.8103186620929,18.2650567864553,18.1991459317372,18.7075640092263,18.1138813358916
"Dpm1",17.450743379833,18.2324507998632,17.7835371961385,18.2372770444373,17.8429777402472,16.9804578091445,17.7169862658992,17.1264230756548,17.5918624988996,18.0295014763927,18.2058009756775,17.8113801927455,17.7415707618383,18.2512709792596,17.2407799069508,17.8640231324875,17.4295678438294,17.811872217107,17.5872949725065,17.5571174602851,18.1417139249176,18.1258341292893,17.517746890636,17.8127741557543,17.6031402762191,17.4526992605662,17.3798602965836
"Dpp3",19.6605307992622,19.4836723413728,19.3934394260813,18.950717112793,19.9954306336626,19.8851975381003,19.3215342245734,19.4283769480267,18.8059895432504,19.106715635812,19.2940359238198,18.8217205856641,19.5987428356195,19.0463271824857,20.058571662906,19.2691442195932,19.1836348169176,19.2878348792971,19.514433187743,19.0070620886349,18.841117712982,19.2787444343346,19.3252801999003,19.1316561481056,18.9375434408084,18.9654003750664,19.1763511895278
"Dpy30",17.8282705397459,17.0173398623089,17.0514084110071,17.6873903059026,17.7838775415847,17.8561340776166,17.6536740928499,17.7714903241433,17.8452459679453,17.3270932051487,17.3065228819875,17.5989993030746,17.0265774493863,17.6159519567023,17.8446922051548,17.451892892843,17.4122632547752,18.1691873817965,17.6626197416317,17.9133747852831,17.4598336709542,17.2318066208192,17.7992091324532,17.3825739979171,17.4752225627006,17.9038299258001,17.2658093050268
"Dpysl2",19.8903620119585,19.1253843658138,19.6745690978659,19.1975531009253,19.5428103330622,19.1802822172333,19.012974846764,19.5026459850157,18.819848747099,19.0391890572888,19.6229362706762,19.4208685783858,19.5807436181369,19.1072546353383,19.9007243948032,19.6708069391258,19.4851371614961,19.594820966494,19.3255130107068,19.3212717276442,18.8598435084027,19.3513873759586,19.273672818892,19.1484509558331,19.6750950842899,18.9460319446548,19.0673772833214
"Dpysl3",18.8315325744758,17.0112972988756,18.7671717595519,17.7439663340096,16.7187318722435,17.9313933539536,17.4247673790495,16.5870609640792,16.3904847820982,17.083654899646,17.8020215802481,16.5363894474595,15.8726573792814,18.3516277210246,17.4093045949044,17.6615989590932,17.0474220203182,16.854266472957,16.1306642246385,18.2778662960192,17.9732794743661,18.2793068159291,17.7820239450004,17.978669263021,16.9475183664382,16.0535334316227,17.9069597984879
"Drap1",15.4033138028488,16.0015004536617,16.1491021393521,15.1527573093833,16.3523538496802,16.056304611781,15.9592592083985,15.5079108004565,15.7490130002738,15.7422746608852,15.2268327308484,16.0571067389833,15.2987079248886,15.1248397442043,15.9847781152026,15.2988973780473,15.5881692614562,15.9775068157401,15.578238063735,15.7488657865381,16.1207889943051,14.9329044615692,15.80293781303,15.6831770513031,15.3853561488485,15.7809753824581,15.9214153701686
"Drg1",17.48189758561,16.9938980003797,17.3943221970697,17.3721559120351,17.7619595282122,17.1021461376756,16.778308056589,17.2278555628779,17.4032342086316,17.550753772409,17.0872886755321,17.3084730897796,16.9909670163699,17.4662972414108,16.085841415515,16.6032474071659,17.0210685963312,17.3335282099749,16.8949417709864,17.5142498549025,17.6190109946656,16.9370599607892,18.1513197431611,17.1099308377293,16.7848917521936,17.5240893558611,17.4956703019827
"Drg2",18.3794738359555,18.9076777697205,18.9635560956593,18.9429748802461,18.2455223040284,18.2806416847501,18.7248894007108,18.5371434967772,19.0953005383482,18.5267310927026,18.527448735097,18.3354572464293,18.3363622325183,18.0950992445759,18.0008216478706,18.5147857103869,18.4388037039498,19.1047242757057,18.8525861813464,18.8554828582422,18.2084753319011,18.5610427622823,19.0495338727835,19.441279740594,18.2084582555533,18.3976434400458,19.4694197546848
"Dsg1a",16.468031061788,17.8335393744189,16.3591298312714,16.9281410037473,16.9266299814721,14.7714342498743,17.0484962972798,17.1618824160778,17.3162614995516,16.6327028874928,15.9391818451385,16.6980817773359,15.4559260040987,17.017503650587,16.0296831395181,16.6760028933353,16.8326914321733,16.3378750940276,16.1881993539041,16.6811249733159,17.2330468566007,15.8414866183585,15.8051112356865,18.2733644167499,15.7404325548692,16.7932317605533,17.1851400178273
"Dsp",19.0833295835356,19.4172386002639,19.4718496820878,18.8586934811205,20.1868260165922,19.0670349233095,19.1393347560304,19.8119318040779,19.7602621914952,18.9227134079849,19.236936065209,19.0036679149795,18.7427186200121,18.9358898435479,18.3947661465942,19.0967512885096,18.9907971982607,19.8594866269388,18.8558798597067,19.683598830334,15.9728987208434,19.7171714057803,15.3059182243921,19.091102431868,19.2187106532572,19.6465996923512,19.7146472391923
"Dst",21.6430773375687,22.5152624194726,21.7736985161234,22.3705306981305,22.0557207156128,21.4807164149476,21.7952822210142,22.8111142881635,23.4390769266954,22.4874429109303,22.3942517761588,23.3691567461007,21.5105255128447,22.2628102388113,21.7632616322198,22.0337843644853,21.8884224541871,22.8924182022951,22.1275713659363,21.6703510565433,22.3435567748007,22.8705728095993,22.4477980017934,22.4708291870738,22.3944447426653,21.9727652261599,22.4471451470503
"Dstn",21.4809997318381,21.3631259043224,21.6357589214528,21.7438940923934,20.9643825861605,20.1814900454964,20.6614233216399,21.0623762569464,20.7105614448012,21.556891034656,21.0357839069616,21.2161687647807,21.0619458429734,21.952603348887,21.3017459068296,21.3957879963055,21.3447641844011,20.7902560919288,21.1231696644293,20.6625942841652,21.8606082763671,21.2055277192399,21.5458794366013,21.01585891294,21.6387838357889,20.7550927299982,21.1449870381328
"Dtymk",17.5921641052325,16.1826619736281,17.9678367442019,17.4936830595754,17.4520938965198,18.3052907343835,17.15415051413,17.2223118123338,18.250590184249,17.6700471208991,16.356435930158,18.1867690452941,16.1250392257468,17.6405755452263,17.9181202877466,17.0998811655894,17.7275276092386,16.2251741852895,16.506575121345,18.2292683143604,17.4615151201431,16.6025033705162,18.6117634867237,17.0194513405206,17.3609491327779,18.2016475849265,18.0691837522513
"Dusp3",16.885039011518,17.2369692669496,17.553972022512,17.0107813264403,17.5619859514426,17.5582509761862,17.0099727036957,17.5692035211953,16.6062220284107,17.2901494900614,17.6567182685494,17.3146725414083,17.6515647361278,17.2036049315672,18.3852668270119,17.527064904961,18.0903221887497,17.5796158496142,17.5710548474873,17.5567467273552,17.577814737931,17.0400841822102,16.8994050232986,17.5505999937003,17.9329898622727,17.5145761668948,17.8582805348258
"Dvl2",16.1635017462361,15.9306591842458,16.7165530454467,16.0362169680769,16.098983545101,16.7616231261555,16.3344757039185,15.8287963549052,16.8905834637857,15.3798253061789,16.2437650095689,16.6111106327937,15.843622421686,16.7876893094576,16.4342910451692,15.4429489776727,15.5540480479873,17.2212353771439,15.8773315552431,16.7945266112983,15.707356765632,16.909921708534,16.4499038498768,16.7609941195292,16.4637579872758,15.8118864696447,16.0441423215953
"Dync1h1",19.5103426198879,19.9879250176391,19.381040420834,19.7078684623349,19.2498585018826,19.7707498131275,19.5444473460316,19.8595282612277,19.7028088765053,19.7814699787004,19.7944665770206,19.6405721013511,19.1785766614371,19.6544253981466,20.435187930173,20.0546619046256,20.1178375238245,19.7756417602473,20.1067876561417,19.4204910264077,19.7193114862115,20.0532649462923,19.6153168018611,19.8770419563394,20.2923484464389,19.1473235684329,19.9743662196373
"Dync1i2",20.5017365953433,20.7362532950384,20.6496734126997,20.4828100515476,20.3869140619192,19.6442522765677,20.6723253240137,19.7365594995484,20.0246793480422,20.6333280087589,20.5273624905436,20.1031668961098,19.4936994237061,20.5306087993801,20.1564032054602,20.7062190474285,20.4780801148616,20.5518199378396,20.7719313509557,20.6238708416927,20.6338693198909,20.3705247567708,20.5304457879538,20.587832129475,20.8481733807431,20.4283736322502,20.7407552435667
