Atad2
Blm
Casp8ap2
Ccne2
Cdc45
Cdc6
Cdca7
Cenpu
Chaf1b
Clspn
Dscc1
Dtl
E2f8
Exo1
Fen1
Gins2
Gmnn
Hells
Mcm4
Mcm5
Mcm6
Mcm7
Mrpl36
Msh2
Nasp
Pcna
Pola1
Pold3
Polr1b
Prim1
Rad51
Rad51ap1
Rfc2
Rrm1
Rrm2
Slbp
Tipin
Tyms
Ubr7
Uhrf1
Ung
Usp1
Wdr76
